CountryCode,MatchesPlayed,Player,RedCards,YellowCards
USA,1,John Brooks,0,0
BIH,1,Anel HADZIC,0,0
ENG,1,Rickie Lambert,0,0
COL,1,Eder BALANTA,0,0
AUS,1,Ivan FRANJIC,0,0
USA,1,Julian GREEN,0,0
NGA,1,Ruben GABRIEL,0,0
GER,1,Julian DRAXLER,0,0
BIH,1,Ognjen VRANJES,0,0
BIH,1,Avdija VRSAJEVIC,0,0
CRO,1,Sammir,0,0
GRE,1,Panagiotis GLYKOS,0,0
NGA,1,Godfrey OBOABONA,0,0
ENG,1,Chris Smalling,0,0
ENG,1,Phil JONES,0,0
SUI,1,Michael LANG,0,0
ARG,1,Hugo CAMPAGNARO,0,0
MEX,1,Javier AQUINO,0,0
CIV,1,Max Gradel,0,0
CMR,1,Allan Nyom,0,0
ARG,1,Ricardo ALVAREZ,0,0
ENG,1,Luke SHAW,0,0
COL,1,Carlos Bacca,0,0
COL,1,Carlos Carbonero,0,0
CIV,1,Giovanni Sio,0,0
ECU,1,Renato Ibarra,0,0
ALG,1,Riyad MAHREZ,0,0
FRA,1,Morgan SCHNEIDERLIN,0,0
CRO,1,Marcelo BROZOVIC,0,0
BEL,1,Adnan JANUZAJ,0,0
ITA,2,Marco PAROLO,0,0
BIH,2,Tino Sven SUSIC,0,0
GHA,2,Fatawu DAUDA,0,0
BIH,2,Sead KOLASINAC,0,0
POR,2,William,0,0
USA,2,Chris Wondolowski,0,0
ECU,2,Carlos GRUEZO,0,0
KOR,2,JI Dongwon,0,0
HON,2,Andy Najar,0,0
CRO,2,Å ime VRSALJKO,0,0
ENG,2,Jack Wilshere,0,0
ARG,2,JosÃ© Basanta,0,0
ECU,2,Oswaldo MINDA,0,0
ALG,2,Mehdi MOSTEFA,0,0
ENG,2,Jordan Henderson,0,0
ECU,2,Michael ARROYO,0,0
BIH,2,Izet Hajrovic,0,0
SUI,2,Fabian SCHAER,0,0
ALG,2,Faouzi GHOULAM,0,0
RUS,2,Andrey ESHCHENKO,0,0
ITA,2,Marco VERRATTI,0,0
NED,2,Jordy CLASIE,0,0
RUS,2,Maksim Kanunnikov,0,0
GRE,2,Ioannis Fetfazidis,0,0
BIH,2,Senad LULIC,0,0
ESP,2,Diego COSTA,0,0
CRO,2,Mario MANDZUKIC,0,0
BIH,2,Edin VISCA,0,0
BIH,2,Toni SUNJIC,0,0
ALG,2,Saphir TAIDER,0,0
AUS,2,Adam TAGGART,0,0
CRO,2,Nikica Jelavic,0,0
ESP,2,PEDRO,0,0
CMR,2,Joel Matip,0,0
CMR,2,Vincent Aboubakar,0,0
KOR,2,KIM Shinwook,0,0
ESP,2,Sergio BUSQUETS,0,0
ENG,2,Leighton Baines,0,0
ITA,2,Ciro IMMOBILE,0,0
NED,2,Joel VELTMAN,0,0
ESP,2,Koke,0,0
NGA,2,Michael BABATUNDE,0,0
URU,2,Gaston RAMIREZ,0,0
AUS,2,Oliver BOZANIC,0,0
ESP,2,Santi Cazorla,0,0
HON,2,Juan Carlos GARCIA,0,0
AUS,2,James TROISI,0,0
CMR,2,Benoit ASSOU EKOTTO,0,0
GRE,2,Lazaros CHRISTODOULOPOULOS,0,0
BIH,2,Sejad SALIHOVIC,0,0
FRA,2,LoÃ¯c RÃ©my,0,0
BIH,2,Mensur MUJDZA,0,0
ENG,2,Phil Jagielka,0,0
HON,2,Emilio IZAGUIRRE,0,0
GHA,2,Mubarak WAKASO,0,0
BIH,2,Zvjezdan MISIMOVIC,0,0
RUS,2,Igor DENISOV,0,0
HON,2,Marvin CHAVEZ,0,0
MEX,2,Carlos SALCIDO,0,0
POR,2,VARELA,0,0
URU,2,Luis SUAREZ,0,0
ESP,2,CÃ©sar AZPILICUETA,0,0
CMR,2,AurÃ©lien Chedjou,0,0
GHA,2,Emmanuel Agyemang Badu,0,0
JPN,2,Yuya OSAKO,0,0
CRC,2,Michael BARRANTES,0,0
ENG,2,Danny Welbeck,0,0
NGA,2,Victor MOSES,0,0
POR,2,Ricardo Costa,0,0
ITA,2,Daniele DE ROSSI,0,0
CHI,2,Jean Beausejour,0,0
POR,2,RAUL MEIRELES,0,0
CRO,2,Danijel Pranjic,0,0
KOR,2,PARK Chuyoung,0,0
ESP,2,Cesc FABREGAS,0,0
ENG,2,Glen Johnson,0,0
GHA,2,Kevin-Prince BOATENG,0,0
KOR,2,JUNG Sungryong,0,0
AUS,2,Matt McKAY,0,0
SUI,2,Steve VON BERGEN,0,0
GER,2,Lukas PODOLSKI,0,0
URU,2,Diego FORLAN,0,0
NGA,2,Shola AMEOBI,0,0
JPN,2,Yasuhito ENDO,0,0
ITA,2,Antonio Cassano,0,0
CIV,3,Boubacar BARRY,0,0
CRO,3,Stipe PLETIKOSA,0,0
JPN,3,Yoshito OKUBO,0,0
BRA,3,Maicon,0,0
ECU,3,Jorge GUAGUA,0,0
AUS,3,Alex WILKINSON,0,0
ITA,3,Thiago MOTTA,0,0
ITA,3,Andrea PIRLO,0,0
AUS,3,Mark BRESCIANO,0,0
ESP,3,AndrÃ©s INIESTA,0,0
ESP,3,Fernando Torres,0,0
ECU,3,Walter AYOVI,0,0
